Exercise;Muscle
High Bar Squat;Quad
High Bar Squat;Glute
Low Bar Squat;Leg Bicep
Low Bar Squat;Glute
Front Squat;Quad
Bulgarian Split Squat;Glute
Sissy Squat;Quad
Hack Squat;Quad
Deadlift;Glute
Deadlift;Leg Bicep
Sumo Deadlift;Glute
Sumo Squat;Glute
Deficit Deadlift 1 inch;Glute
Deficit Deadlift 1 inch;Leg Bicep
Deficit Deadlift 2 inch;Glute
Deficit Deadlift 2 inch;Leg Bicep
Deficit Sumo Deadlift 1 inch;Glute
Deficit Sumo Deadlift 1 inch;Leg Bicep
Deficit Sumo Deadlift 2 inch;Glute
Deficit Sumo Deadlift 2 inch;Leg Bicep
Romanian Deadlift;Leg Bicep
Stiff-legged Deadlift;Leg Bicep
Snatch-grip Deadlift;Glute
Snatch-grip Deadlift;Leg Bicep
Glute Bridge;Glute
Single-leg Glute Bridge;Glute
Hip thrust;Glute
Nordic curls;Leg Bicep
Towel leg curls;Leg Bicep
Standing calf raise;Calf
Standing single leg calf raise;Calf
Seated calf raise;Calf
Chin up;Lat
Pull up;Lat
Lat Pull-down;Lat
BB Row;Lat
BB Row;Trapezius
DB Row;Lat
T-Bar Row;Lat
Reverse Flys;Trapezius
Reverse Flys;Rear Delt
DB Chest Supported Row;Lat
DB Face Pull;Rear Delt
BB Bench Press;Pec
BB Incline Press 30°;Pec
BB Incline Press 30°;Front Delt
BB Incline Press 45°;Pec
BB Incline Press 45°;Front Delt
DB Bench Press;Pec
DB Incline Press 30°;Pec
DB Incline Press 30°;Front Delt
DB Incline Press 45°;Pec
DB Incline Press 45°;Front Delt
Wide Grip Bench Press;Pec
Close Grip Bench Press;Pec
Close Grip Bench Press;Triceps
Legs up Bench Press;Pec
Flys;Pec
Incline Flys 30°;Pec
Dips;Pec
Dips;Triceps
Push ups;Pec
Diamond push ups;Pec
Diamond push ups;Triceps
BB Press;Front Delt
BB Press;Side Delt
DB Press;Front Delt
DB Press;Side Delt
Push Press;Front Delt
Push Press;Side Delt
Push Press;Triceps
Arnold Press;Front Delt
Arnold Press;Side Delt
Lateral Raise;Side Delt
Seated Lateral Raise;Side Delt
Front Raise;Front Delt
BB Upright Row;Side Delt
DB Upright Row;Side Delt
BB Curls;Bicep
BB Close Grip Curls;Bicep
BB Wide Grip Curls;Bicep
DB Curls;Bicep
Hammer Curls;Bicep
DB Preacher Curls;Bicep
DB Wall Curls;Bicep
DB Incline Curls;Bicep
BB Skullcrushers;Triceps
BB Skullcrushers Incline 30°;Triceps
BB Skullcrushers Incline 60°;Triceps
BB Skullcrushers Incline 80°;Triceps
DB Skullcrushers Incline 30°;Triceps
DB Skullcrushers Incline 60°;Triceps
DB Skullcrushers Incline 80°;Triceps
BB Triceps Extension;Triceps
DB Triceps Extension;Triceps
Donkey Kicks;Triceps
Marine Workout;Upper Abs
Marine Workout;Lower Abs
Crunch;Upper Abs
Plank;Upper Abs
Lying Leg Raise;Lower Abs
Hanging Leg Raise;Lower Abs
Dragon Flag;Upper Abs
Dragon Flag;Lower Abs
Ab wheel;Upper Abs
Bicycle Kicks;Lower Abs
Diagonal Crunch;Upper Abs
Rotating Crunch;Upper Abs
Sideway Plank;Upper Abs